data_folder,threshold,data_id,seed,pytorch_verified_energy,pytorch_reported_energy,energy_difference,pytorch_result_file,status
1_data_1000,1e-1,data_1,1,-19571.21484375,-19571.21484375,0.0,../1_solve/solution/1_data_1000/thr_1e-1/data_1/pytorch_1,MATCH
1_data_1000,1e-1,data_1,2,-19606.83984375,-19606.83984375,0.0,../1_solve/solution/1_data_1000/thr_1e-1/data_1/pytorch_2,MATCH
1_data_1000,1e-1,data_1,3,-19585.72265625,-19585.72265625,0.0,../1_solve/solution/1_data_1000/thr_1e-1/data_1/pytorch_3,MATCH
1_data_1000,1e-1,data_1,4,-19683.4375,-19683.4375,0.0,../1_solve/solution/1_data_1000/thr_1e-1/data_1/pytorch_4,MATCH
1_data_1000,1e-1,data_1,5,-19660.2109375,-19660.208984375,-0.001953125,../1_solve/solution/1_data_1000/thr_1e-1/data_1/pytorch_5,MATCH
1_data_1000,1e-1,data_2,1,-18870.47265625,-18870.474609375,0.001953125,../1_solve/solution/1_data_1000/thr_1e-1/data_2/pytorch_1,MATCH
1_data_1000,1e-1,data_2,2,-18812.814453125,-18812.814453125,0.0,../1_solve/solution/1_data_1000/thr_1e-1/data_2/pytorch_2,MATCH
1_data_1000,1e-1,data_2,3,-18724.55078125,-18724.55078125,0.0,../1_solve/solution/1_data_1000/thr_1e-1/data_2/pytorch_3,MATCH
1_data_1000,1e-1,data_2,4,-18796.462890625,-18796.462890625,0.0,../1_solve/solution/1_data_1000/thr_1e-1/data_2/pytorch_4,MATCH
1_data_1000,1e-1,data_2,5,-18822.5546875,-18822.5546875,0.0,../1_solve/solution/1_data_1000/thr_1e-1/data_2/pytorch_5,MATCH
1_data_1000,1e-1,data_3,1,-19370.181640625,-19370.181640625,0.0,../1_solve/solution/1_data_1000/thr_1e-1/data_3/pytorch_1,MATCH
1_data_1000,1e-1,data_3,2,-19341.83203125,-19341.833984375,0.001953125,../1_solve/solution/1_data_1000/thr_1e-1/data_3/pytorch_2,MATCH
1_data_1000,1e-1,data_3,3,-19473.0859375,-19473.08984375,0.00390625,../1_solve/solution/1_data_1000/thr_1e-1/data_3/pytorch_3,MATCH
1_data_1000,1e-1,data_3,4,-19418.47265625,-19418.474609375,0.001953125,../1_solve/solution/1_data_1000/thr_1e-1/data_3/pytorch_4,MATCH
1_data_1000,1e-1,data_3,5,-19340.9375,-19340.93359375,-0.00390625,../1_solve/solution/1_data_1000/thr_1e-1/data_3/pytorch_5,MATCH
1_data_1000,1e-1,data_4,1,-20744.68359375,-20744.681640625,-0.001953125,../1_solve/solution/1_data_1000/thr_1e-1/data_4/pytorch_1,MATCH
1_data_1000,1e-1,data_4,2,-20719.17578125,-20719.17578125,0.0,../1_solve/solution/1_data_1000/thr_1e-1/data_4/pytorch_2,MATCH
1_data_1000,1e-1,data_4,3,-20554.9609375,-20554.9609375,0.0,../1_solve/solution/1_data_1000/thr_1e-1/data_4/pytorch_3,MATCH
1_data_1000,1e-1,data_4,4,-20628.85546875,-20628.85546875,0.0,../1_solve/solution/1_data_1000/thr_1e-1/data_4/pytorch_4,MATCH
1_data_1000,1e-1,data_4,5,-20697.33203125,-20697.33203125,0.0,../1_solve/solution/1_data_1000/thr_1e-1/data_4/pytorch_5,MATCH
