data_folder,threshold,data_id,seed,pytorch_verified_energy,scipy_reported_energy,energy_difference,scipy_result_file,status
1_data_1000,1e-1,data_1,1,-18582.48011136055,-18582.48011136055,0.0,../1_solve/solution/1_data_1000/thr_1e-1/data_1/scipy_1,MATCH
1_data_1000,1e-1,data_1,2,-18149.65126502514,-18149.65126502514,0.0,../1_solve/solution/1_data_1000/thr_1e-1/data_1/scipy_2,MATCH
1_data_1000,1e-1,data_1,3,-18369.444033145905,-18369.444033145905,0.0,../1_solve/solution/1_data_1000/thr_1e-1/data_1/scipy_3,MATCH
1_data_1000,1e-1,data_1,4,-18556.663835287094,-18556.663835287094,0.0,../1_solve/solution/1_data_1000/thr_1e-1/data_1/scipy_4,MATCH
1_data_1000,1e-1,data_1,5,-18455.90492582321,-18455.90492582321,0.0,../1_solve/solution/1_data_1000/thr_1e-1/data_1/scipy_5,MATCH
1_data_1000,1e-1,data_2,1,-17237.4521266222,-17237.4521266222,0.0,../1_solve/solution/1_data_1000/thr_1e-1/data_2/scipy_1,MATCH
1_data_1000,1e-1,data_2,2,-17293.07322394848,-17293.07322394848,0.0,../1_solve/solution/1_data_1000/thr_1e-1/data_2/scipy_2,MATCH
1_data_1000,1e-1,data_2,3,-17500.719636917114,-17500.719636917114,0.0,../1_solve/solution/1_data_1000/thr_1e-1/data_2/scipy_3,MATCH
1_data_1000,1e-1,data_2,4,-17118.253832101822,-17118.253832101822,0.0,../1_solve/solution/1_data_1000/thr_1e-1/data_2/scipy_4,MATCH
1_data_1000,1e-1,data_2,5,-17200.08602976799,-17200.08602976799,0.0,../1_solve/solution/1_data_1000/thr_1e-1/data_2/scipy_5,MATCH
1_data_1000,1e-1,data_3,1,-18033.3569586277,-18033.3569586277,0.0,../1_solve/solution/1_data_1000/thr_1e-1/data_3/scipy_1,MATCH
1_data_1000,1e-1,data_3,2,-18135.518728733063,-18135.518728733063,0.0,../1_solve/solution/1_data_1000/thr_1e-1/data_3/scipy_2,MATCH
1_data_1000,1e-1,data_3,3,-17997.30565404892,-17997.30565404892,0.0,../1_solve/solution/1_data_1000/thr_1e-1/data_3/scipy_3,MATCH
1_data_1000,1e-1,data_3,4,-17992.389932394028,-17992.389932394028,0.0,../1_solve/solution/1_data_1000/thr_1e-1/data_3/scipy_4,MATCH
1_data_1000,1e-1,data_3,5,-17871.0916005373,-17871.0916005373,0.0,../1_solve/solution/1_data_1000/thr_1e-1/data_3/scipy_5,MATCH
1_data_1000,1e-1,data_4,1,-18867.314002633095,-18867.314002633095,0.0,../1_solve/solution/1_data_1000/thr_1e-1/data_4/scipy_1,MATCH
1_data_1000,1e-1,data_4,2,-19305.256499528885,-19305.256499528885,0.0,../1_solve/solution/1_data_1000/thr_1e-1/data_4/scipy_2,MATCH
1_data_1000,1e-1,data_4,3,-19632.269797563553,-19632.269797563553,0.0,../1_solve/solution/1_data_1000/thr_1e-1/data_4/scipy_3,MATCH
1_data_1000,1e-1,data_4,4,-19276.132803320885,-19276.132803320885,0.0,../1_solve/solution/1_data_1000/thr_1e-1/data_4/scipy_4,MATCH
1_data_1000,1e-1,data_4,5,-19466.059230327606,-19466.059230327606,0.0,../1_solve/solution/1_data_1000/thr_1e-1/data_4/scipy_5,MATCH
1_data_1000,1e-1,data_5,1,-17420.269712090492,-17420.269712090492,0.0,../1_solve/solution/1_data_1000/thr_1e-1/data_5/scipy_1,MATCH
1_data_1000,1e-1,data_5,2,-17443.588747620583,-17443.588747620583,0.0,../1_solve/solution/1_data_1000/thr_1e-1/data_5/scipy_2,MATCH
1_data_1000,1e-1,data_5,3,-17228.39266562462,-17228.39266562462,0.0,../1_solve/solution/1_data_1000/thr_1e-1/data_5/scipy_3,MATCH
1_data_1000,1e-1,data_5,4,-17474.060241937637,-17474.060241937637,0.0,../1_solve/solution/1_data_1000/thr_1e-1/data_5/scipy_4,MATCH
1_data_1000,1e-1,data_5,5,-17515.458550095558,-17515.458550095558,0.0,../1_solve/solution/1_data_1000/thr_1e-1/data_5/scipy_5,MATCH
1_data_1000,1e-2,data_1,1,-19113.083055853844,-19113.083055853844,0.0,../1_solve/solution/1_data_1000/thr_1e-2/data_1/scipy_1,MATCH
1_data_1000,1e-2,data_1,2,-19040.74719798565,-19040.74719798565,0.0,../1_solve/solution/1_data_1000/thr_1e-2/data_1/scipy_2,MATCH
